Metin,Etiket
"Bir köylü kadın ikinci defa evlendi.",0
"Mutfakta birinci kocasını düşündü.",1
"Birinci kocası şimdiki kocasından daya iyiydi.",1
"Bu arada bir dilenci kapıyı çalmadan içeri girdi.",0
"Köylü kadından bir şeyler vermesini rica etti.",0
"Çünkü dilenci çok açtı.",0
"Köylü kadın dilenciye: “Nereden geliyorsun?” diye sordu.",0
"Dilenci “Çanakkale’den geliyorum” diye cevap verdi.",0
"Köylü kadın Ça- nakkale’yi duymadı ve bunu cennet gibi anladı.",1
"Kadın: “Birinci kocam geçen yıl öldü. Cennette onu gördün mu?” diye sordu.",1
"Dilenci: “Tabii, sevgili bayan, kocanızı taniyorum. Kocanız orada gömleksiz, şapkasız büyük bir elbiseyle dolaşıyor” dedi.",2
"Köylü kadın: Ah! Benim zavallı kocam dedi ve dilenciye: “Cennete ne zaman dönüyorsun?” diye sordu.",1
"Dilenci: “Yarın hazırlanıp on dört gün sonra cennete dönecegim.” dedi.",0
"Köylü kadın: “Birinci kocama bir şeyler götürür müsün?” diye sordu.",0
"Dilenci; “Tabii” diye cevap verdi ve “Deli bir kadın! Belki Ölü kocasına para ve elbise gönderir” diye düşündü.",2
"Köylü kadın 11TÜRKÇE 100 METİN pantolon, gömlek, ayakkabı ve 12 tane altın, bir sucuk ve üzümü getirip torbaya koydu.",0
"Köylü kadın, dilenciye; “Bunların hepsini kocama götür ve ona selamımı söyle” dedi.",0
"Dilenci torbayı alip gitti.",0
"Biraz sonra kadının kocası geldi.",0
"Köylü kadın kocasına “Birinci kocama biraz önce bir dilenciyle giyecek, altın ve sucuk gönderdim” dedi.",1
"Kocası: “Aman Tanrım! Deli kadın” diye düşündü.",1
"Karısına hiçbir çey söylemeden atını getirdi ve binip dilencinin arkasından gitti.",1
"Dilenci nal sesleri duydu, durup baktı ve köylüyü gördü.",0
"Hemen torbayı bir ağacın arkasına saklayıp torbanın üstünü örttü ve yolun kenarına oturdu.",1
"Köylü geldi ve dilenciye; “Torbalı bir dilenci gördün mü?” diye sordu.",0
"Dilenci; “Evet gördüm Şu tarafa gitti.” dedi.",0
"Köylü dilenciye: “Atımı tut” diye rica etti ve o tarafa doğru koşmaya başladı.",0
"Dilenci torbayı aldı ve ata binip gitti.",0
"Köylü tabii dilenciyi bulamadan geri döndü baktı ama at ve o adam yoktu.",1
"Her şeyi o zaman anladı.",1
"Köylü: “Ben karımdan daha deliyim. Dilenciye atımı kendim verdim” dedi ve eve yürüyerek döndü.",1
"Karısı: “Yürüyerek mi geldin?” diye sordu.",0
"Köylü: “Evet, cennete daha çabuk, gitsin ve eşyalari birinci kocana ulaştırsın diye atımı dilenciye verdim” dedi.",2
